Item,Quantity,Source,Cost (USD),Link
Body,,,,
Speakers,2,Mouser,,https://www.mouser.com/ProductDetail/490-CLS0281MAE-L152
RPi Zero 2 W,1,Mouser,,https://www.mouser.com/ProductDetail/358-SC1146
Push Buttons,20,Mouser,,https://www.mouser.com/ProductDetail/485-4183
Push Button Caps,10,Mouser,,https://www.mouser.com/ProductDetail/633-AT422B
USB-A Breakout,5,Mouser,,https://www.mouser.com/ProductDetail/392-333132
USB Hub Breakout,1,Mouser,,https://www.mouser.com/ProductDetail/485-5997
Joysticks,2,Mouser,,https://www.mouser.com/ProductDetail/474-COM-09032
I2S Audio Amp HAT,1,Mouser,,https://www.mouser.com/ProductDetail/485-3346
MicroUSB to USB-C,1,Mouser,,https://www.mouser.com/ProductDetail/734-MB-C-1M-BK
MiniHDMI to MiniHDMI,1,Mouser,,https://www.mouser.com/ProductDetail/734-MB-C-1M-BK
USBA to MicroUSB,1,Mouser,,https://www.mouser.com/ProductDetail/46-USB2MICROUSB3FC
FPC Extension,1,Mouser,118.06,https://www.mouser.com/ProductDetail/485-2098
Display,1,BuyDisplay.com,,https://www.buydisplay.com/ips-7-inch-1024x600-display-mini-hdmi-board-for-raspberry-pi
Display Driver,1,BuyDisplay.com,40.18,https://www.buydisplay.com/ips-7-inch-1024x600-display-mini-hdmi-board-for-raspberry-pi
Hackcon + Keyboard,,,,
Keyboard PCB,5,JLCPCB,,
Right Hackcon,5,JLCPCB,,
Left Hackcon,5,JLCPCB,25.00, 
RP2040-One,3,Waveshare,29.07,
Choc V1 Low Profile Switches,55,Keebio,39.30,https://keeb.io/products/kailh-choc-low-profile-switches-v1?variant=40343498227806
Battery,,,,
UPS + Battery,1,Amazon,28.36,https://www.amazon.com/Raspberry-Battery-Standard-10000mAh-Expansion/dp/B01LAEX7J0?sr=8-1
Misc,,,,
Misc Nuts,,Home Depot,10.00,
Total,,,208.10,
